9.200000166893005371e-01,9.288889169692993164e-01,9.422222375869750977e-01,9.111111164093017578e-01,9.022222161293029785e-01,9.377777576446533203e-01,9.200000166893005371e-01,8.755555748939514160e-01,9.111111164093017578e-01,8.711110949516296387e-01
8.977777957916259766e-01,9.066666960716247559e-01,8.977777957916259766e-01,9.288889169692993164e-01,8.977777957916259766e-01,9.288889169692993164e-01,9.200000166893005371e-01,9.155555367469787598e-01,8.977777957916259766e-01,9.377777576446533203e-01
9.111111164093017578e-01,9.377777576446533203e-01,9.111111164093017578e-01,9.200000166893005371e-01,9.066666960716247559e-01,8.933333158493041992e-01,9.066666960716247559e-01,9.377777576446533203e-01,9.111111164093017578e-01,9.244444370269775391e-01
9.155555367469787598e-01,9.200000166893005371e-01,9.111111164093017578e-01,9.244444370269775391e-01,8.799999952316284180e-01,9.466666579246520996e-01,9.288889169692993164e-01,8.888888955116271973e-01,9.288889169692993164e-01,9.422222375869750977e-01
9.333333373069763184e-01,9.288889169692993164e-01,9.333333373069763184e-01,9.244444370269775391e-01,9.155555367469787598e-01,9.022222161293029785e-01,8.977777957916259766e-01,9.111111164093017578e-01,9.244444370269775391e-01,9.155555367469787598e-01
9.022222161293029785e-01,8.844444155693054199e-01,9.288889169692993164e-01,8.933333158493041992e-01,8.977777957916259766e-01,9.422222375869750977e-01,9.333333373069763184e-01,9.333333373069763184e-01,8.888888955116271973e-01,9.066666960716247559e-01
9.333333373069763184e-01,9.200000166893005371e-01,9.288889169692993164e-01,9.066666960716247559e-01,9.555555582046508789e-01,9.066666960716247559e-01,9.377777576446533203e-01,9.511111378669738770e-01,9.022222161293029785e-01,8.799999952316284180e-01
9.599999785423278809e-01,9.200000166893005371e-01,9.244444370269775391e-01,9.288889169692993164e-01,9.244444370269775391e-01,9.111111164093017578e-01,8.977777957916259766e-01,8.977777957916259766e-01,9.200000166893005371e-01,8.755555748939514160e-01
9.422222375869750977e-01,8.622221946716308594e-01,9.244444370269775391e-01,9.022222161293029785e-01,9.155555367469787598e-01,9.555555582046508789e-01,8.977777957916259766e-01,9.333333373069763184e-01,9.155555367469787598e-01,9.288889169692993164e-01
9.111111164093017578e-01,9.022222161293029785e-01,9.333333373069763184e-01,9.244444370269775391e-01,8.977777957916259766e-01,8.933333158493041992e-01,8.977777957916259766e-01,9.155555367469787598e-01,9.200000166893005371e-01,8.577777743339538574e-01
